Nombres,Apellido 1,Apellido 2,Cédula,Fecha de Nacimiento,Género,Fecha de Ingreso,Número de empleado,Cargo,Jefe,Zona,Municipio,Departamento,Ventas 2019,Email,Contraseña,Imágen,Celular
Elías,Unzueta,Maya,94.278.700,30/7/1991,M,26/03/2005,5700001,Ejecutivo Comercial,5700056,Zona 1,Bogotá,Cundinamarca,46756057,elias.unzueta@sulogistics.com,eunzuetam1991,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,313-222-9991
Gregorio,Echeverría,Ezguerra,94.246.373,5/10/1974,M,14/02/2006,5700002,Ejecutivo Comercial,5700008,Zona 2,Apartadó,Antioquia,31826604,gregorio.echeverria@sulogistics.com,gecheverriae1974,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M2_rtdrqj.jpg,320-662-8755
Cecilia,Umaña,Viscaya,53.233.697,26/1/1977,F,6/04/2006,5700003,Ejecutivo Comercial,5700060,Zona 2,Armenia,Quindío,48816520,cecilia.umaña@sulogistics.com,cumañav1977,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,314-804-3906
Marcela,Mendoza,Uzurriaga,53.105.206,21/6/1999,F,13/06/2006,5700004,Ejecutivo Comercial,5700033,Zona 3,Palmira,Valle del Cauca,16977199,marcela.mendoza@sulogistics.com,mmendozau1999,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F3_tknmmr.jpg,315-438-9705
María Jimena,Úzuga,Alzate,53.491.229,9/6/1998,F,13/07/2006,5700005,Ejecutivo Comercial,5700015,Zona 4,Sincelejo,Sucre,38374492,mariajimena.uzuga@sulogistics.com,muzugaa1998,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,320-476-4540
Agustín,Echaverría,Londoño,94.779.921,15/3/1983,M,8/08/2006,5700006,Ejecutivo Comercial,5700008,Zona 2,Apartadó,Antioquia,25641890,agustin.echaverria@sulogistics.com,aechaverrial1983,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M2_rtdrqj.jpg,317-573-3850
José Miguel,Arteaga,Olózaga,94.465.311,30/4/1981,M,10/08/2006,5700007,Ejecutivo Comercial,5700039,Zona 4,Barranquilla,Atlántico,40184669,josemiguel.arteaga@sulogistics.com,jarteagao1981,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,313-705-6859
Tatiana,Echavarría,Montoya,53.254.105,23/3/1984,F,26/12/2006,5700008,Subgerente Regional,5700028,Zona 2,Medellín,Antioquia,0,tatiana.echavarria@sulogistics.com,techavarriam1984,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,315-494-4966
Joaquín,Sarria,Otoya,94.728.539,4/12/1995,M,7/01/2007,5700009,Gerente Regional,5700079,Zona 1,Bogotá,Cundinamarca,0,joaquin.sarria@sulogistics.com,jsarriao1995,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,310-736-6047
Rebeca,Esguerra,Arana,53.112.264,30/11/1976,F,7/08/2007,5700010,Gerente Regional,5700079,Zona 5,Villavicencio,Meta,0,rebeca.esguerra@sulogistics.com,resguerraa1976,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F5_c3ktge.jpg,315-976-4087
María Elisa,Daza,Echeverry,53.116.639,25/6/1971,F,11/09/2007,5700011,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,39447176,mariaelisa.daza@sulogistics.com,mdazae1971,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,316-168-8006
Gregorio,Mazuera,Gardeazábal,94.827.364,16/2/1971,M,3/10/2007,5700012,Ejecutivo Comercial,5700033,Zona 3,Palmira,Valle del Cauca,49952888,gregorio.mazuera@sulogistics.com,gmazuerag1971,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,310-932-2663
Elías,Úzuga,Gardeazábal,94.740.245,14/2/1997,M,27/10/2007,5700013,Ejecutivo Comercial,5700056,Zona 1,Bogotá,Cundinamarca,44492034,elias.uzuga@sulogistics.com,euzugag1997,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,317-518-1777
Simón,Samudio,Arana,94.946.702,5/2/1993,M,16/08/2008,5700014,Ejecutivo Comercial,5700039,Zona 4,Riohacha,La Guajira,27620959,simon.samudio@sulogistics.com,ssamudioa1993,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,314-112-2252
Luis Ernesto,Saldarriaga,Solórzano,94.570.156,9/9/1975,M,30/08/2008,5700015,Subgerente Regional,5700063,Zona 4,Cartagena,Bolívar,0,luisernesto.saldarriaga@sulogistics.com,lsaldarriagas1975,https://res.cloudinary.com/luisgr/image/upload/v1632689825/basicapp/users-profile/M4_r5cckc.jpg,311-907-3358
María Dolores,Chavarro,Lenis,53.323.66,9/8/2000,F,13/11/2008,5700016,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,$47.230.805,mariadolores.chavarro@sulogistics.com,mchavarrol2000,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,317-115-2151
María del Socorro,Iragorri,Bedoya,53.650.23,3/12/2000,F,20/02/2009,5700017,Ejecutivo Comercial,5700039,Zona 4,Soledad,Atlántico,$48.011.527,mariadelsocorro.iragorri@sulogistics.com,miragorrib2000,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F4_xznwxl.jpg,315-676-2278
Rubén,Esguerra,Molano,94.424.204,8/11/1987,M,28/03/2009,5700018,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,$36.987.152,ruben.esguerra@sulogistics.com,resguerram1987,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,319-156-4512
María Victoria,Atehortúa,Ulloa,53.353.504,19/10/1971,F,5/04/2009,5700019,Ejecutivo Comercial,5700038,Zona 1,Floridablanca,Santander,$47.338.336,mariavictoria.atehortua@sulogistics.com,matehortuau1971,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,312-646-6719
Magdalena,Zuleta,Larrahondo,53.39.522,10/10/1999,F,4/06/2009,5700020,Ejecutivo Comercial,5700045,Zona 2,Ibagué,Tolima,$43.139.394,magdalena.zuleta@sulogistics.com,mzuletal1999,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F2_ntaqta.jpg,319-480-5722
Eva,Arrieta,Samudio,53.287.572,21/10/1970,F,12/07/2009,5700021,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,$21.791.732,eva.arrieta@sulogistics.com,earrietas1970,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,315-288-9592
Luis Felipe,Úzuga,Azcárate,94.144.649,10/9/1987,M,26/08/2009,5700022,Ejecutivo Comercial,5700038,Zona 1,Cúcuta,Norte de Santander,$32.641.318,luisfelipe.uzuga@sulogistics.com,luzugaa1987,https://res.cloudinary.com/luisgr/image/upload/v1632688418/basicapp/users-profile/M1_ukau2e.jpg,316-317-8743
Luis Alfonso,Chavarríaga,Upegui,94.411.530,27/8/1989,M,23/10/2009,5700023,Ejecutivo Comercial,5700068,Zona 3,Pasto,Nariño,$48.390.316,luisalfonso.chavarriaga@sulogistics.com,lchavarriagau1989,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,315-336-7063
Beatriz,Echaverría,Maya,53.340.740,24/4/1980,F,4/11/2009,5700024,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,$27.551.871,beatriz.echaverria@sulogistics.com,bechaverriam1980,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,317-865-4541
Ricardo,Zambrano,Chavarríaga,94.766.653,25/6/1980,M,13/01/2010,5700025,Ejecutivo Comercial,5700068,Zona 3,Tumaco,Nariño,$41.692.365,ricardo.zambrano@sulogistics.com,rzambranoc1980,https://res.cloudinary.com/luisgr/image/upload/v1632691295/basicapp/users-profile/M3_h4pskt.jpg,319-942-2556
María Claudia,Arizmendi,Urdaneta,53.602.408,24/2/1981,F,3/02/2010,5700026,Ejecutivo Comercial,5700046,Zona 1,Bogotá,Cundinamarca,$42.101.150,mariaclaudia.arizmendi@sulogistics.com,marizmendiu1981,https://res.cloudinary.com/luisgr/image/upload/v1632688417/basicapp/users-profile/F1_r1psqs.jpg,319-857-3990
